state,outcome,feature,q,btcusdt_2024_active_n,btcusdt_2024_active_effect,btcusdt_2024_h1_active_n,btcusdt_2024_h1_active_effect,btcusdt_2024_h2_active_n,btcusdt_2024_h2_active_effect,ethusdt_2024_active_n,ethusdt_2024_active_effect,ethusdt_2024_h1_active_n,ethusdt_2024_h1_active_effect,ethusdt_2024_h2_active_n,ethusdt_2024_h2_active_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
log_trade_count_ratio=Q4,up_first_1atr_1h,log_trade_count_ratio,4,15242,0.004106711073170455,10886,0.0006038233912488145,4356,0.01443658812110965,15714,0.0049228015527869595,12595,0.0022506104486677003,3119,0.01576984248621821,1,0.004106711073170455,True
log_trade_count_ratio=Q5,direction_1h_atr,log_trade_count_ratio,5,16127,0.011801722510800541,14654,-0.010427789672737386,1473,0.04396546729483309,16634,-0.036959769513641,16196,-0.06959578884731504,438,-0.0992599996515967,,,False
log_trade_count_ratio=Q5,up_first_1atr_1h,log_trade_count_ratio,5,15687,0.0006273817677707738,14260,-0.0004390513949776298,1427,0.02063445260399671,16199,-0.011700690676195336,15766,-0.012816953951023113,433,0.029599258706701048,,,False
spot_taker_imbalance_change_15m=Q1,direction_1h_atr,spot_taker_imbalance_change_15m,1,16927,-0.00890607576102738,7862,-0.013269687893883886,9065,-0.0027349154558612213,16819,0.007724467026605357,7992,0.024205727023517545,8827,-0.003983017614608269,,,False
spot_taker_imbalance_change_15m=Q1,up_first_1atr_1h,spot_taker_imbalance_change_15m,1,16546,0.001316582712848402,7687,-0.002421916767035237,8859,0.004443948614570592,16465,-0.00024971333052759004,7833,-0.0019539623101740844,8632,0.001295155814407034,,,False
spot_taker_imbalance_change_15m=Q2,direction_1h_atr,spot_taker_imbalance_change_15m,2,16109,0.01551611624342783,8243,0.020156518195138307,7866,0.009233307718204069,16106,-0.01575414753480256,8339,-0.03398125105964733,7767,0.0010959004368468299,,,False
spot_taker_imbalance_change_15m=Q2,up_first_1atr_1h,spot_taker_imbalance_change_15m,2,15720,0.002887859520293079,8041,0.007753315808657735,7679,-0.0021373602917382772,15736,-0.007722737327602924,8137,-0.0032773512345028455,7599,-0.012481457517355465,,,False
spot_taker_imbalance_change_15m=Q3,direction_1h_atr,spot_taker_imbalance_change_15m,3,15760,0.018635115629064905,8320,0.020745186254479034,7440,0.013372904307303021,15741,0.01536998957122694,8222,0.021811794476508453,7519,0.004906316624385718,1,0.01536998957122694,True
spot_taker_imbalance_change_15m=Q3,up_first_1atr_1h,spot_taker_imbalance_change_15m,3,15396,0.00018531360274531838,8120,0.0011156436077514043,7276,-0.000711898090398233,15400,0.008874757704055769,8034,0.011236912511664587,7366,0.0063001483193586005,1,0.00018531360274531838,False
spot_taker_imbalance_change_15m=Q4,direction_1h_atr,spot_taker_imbalance_change_15m,4,15777,-0.008389448329914888,8133,-0.0442586508598053,7644,0.028016264579313395,15637,0.008240048408281088,7928,-0.0032832912357494484,7709,0.01896691595552801,,,False
spot_taker_imbalance_change_15m=Q4,up_first_1atr_1h,spot_taker_imbalance_change_15m,4,15429,-0.0034086135137822438,7962,-0.004065586694311452,7467,-0.0026186200842501783,15255,0.0026478446629835117,7722,-0.0017357315289406317,7533,0.0071419507692470074,,,False
spot_taker_imbalance_change_15m=Q5,direction_1h_atr,spot_taker_imbalance_change_15m,5,16459,-0.015828730066921676,7560,0.01660473075988375,8899,-0.04062118489657457,16044,-0.015393303012086766,7623,-0.008315513453284039,8421,-0.018579778174654282,-1,0.015393303012086766,False
spot_taker_imbalance_change_15m=Q5,up_first_1atr_1h,spot_taker_imbalance_change_15m,5,16113,-0.001082537053901711,7393,-0.002761526182071039,8720,0.00020376784158376848,15661,-0.003283801443201395,7444,-0.0046884527782766194,8217,-0.0020129483973116424,-1,0.001082537053901711,False
spot_taker_imbalance_change_1h=Q1,direction_1h_atr,spot_taker_imbalance_change_1h,1,17283,-0.0016116391692843068,7974,0.0065394918061052465,9309,-0.005981668393579172,17386,0.002111243659339755,8263,0.014438868792771578,9123,-0.00585117868097686,,,False
spot_taker_imbalance_change_1h=Q1,up_first_1atr_1h,spot_taker_imbalance_change_1h,1,16890,0.003929060104224058,7788,0.003615447524855153,9102,0.004068328307173574,17009,-0.0013046736588666619,8077,-0.0025988626384503277,8932,-0.0001360573430213563,,,False
spot_taker_imbalance_change_1h=Q2,direction_1h_atr,spot_taker_imbalance_change_1h,2,16123,0.002988566406142021,8302,-0.020352385364004882,7821,0.02605897249634554,16231,0.026230476661596454,8388,-0.009115186635536857,7843,0.061459470613924316,1,0.002988566406142021,False
spot_taker_imbalance_change_1h=Q2,up_first_1atr_1h,spot_taker_imbalance_change_1h,2,15764,-0.0008582189281703956,8113,-0.003384690041521532,7651,0.0019041511937629152,15846,-0.0037823100798578535,8181,-0.0027418150432749755,7665,-0.004891520742792754,-1,0.0008582189281703956,False
spot_taker_imbalance_change_1h=Q3,direction_1h_atr,spot_taker_imbalance_change_1h,3,15704,0.02070445056745425,8272,-0.0032018855562762905,7432,0.0445209695131536,15681,9.369643488615215e-05,8090,0.002428984336597946,7591,-0.004835524626961331,1,9.369643488615215e-05,False
spot_taker_imbalance_change_1h=Q3,up_first_1atr_1h,spot_taker_imbalance_change_1h,3,15322,-0.0030851829508596884,8065,0.0007947441425075197,7257,-0.0072609008806749364,15322,0.0023660451661042803,7912,0.004881214420664581,7410,-0.00031818012042544863,,,False
spot_taker_imbalance_change_1h=Q4,direction_1h_atr,spot_taker_imbalance_change_1h,4,15631,-0.018893347572159207,8111,-0.034227708406318606,7520,-0.0044200250086503315,15355,-0.03515031912811455,7890,-0.0492418644139798,7465,-0.02238642226114012,-1,0.018893347572159207,True
spot_taker_imbalance_change_1h=Q4,up_first_1atr_1h,spot_taker_imbalance_change_1h,4,15260,0.003317478107695837,7920,0.0004439015566990445,7340,0.006520794064616975,15013,-0.00219185036981262,7708,-0.0021378741210157926,7305,-0.002247699860385033,,,False
spot_taker_imbalance_change_1h=Q5,direction_1h_atr,spot_taker_imbalance_change_1h,5,16291,-0.003078477209156452,7459,0.05643203322633773,8832,-0.050471595354936255,15694,0.004830568845488478,7473,0.04362607247523548,8221,-0.027347672460258113,,,False
spot_taker_imbalance_change_1h=Q5,up_first_1atr_1h,spot_taker_imbalance_change_1h,5,15968,-0.003518687670781173,7317,-0.001451746187657199,8651,-0.00540617914444641,15327,0.005139909007375043,7292,0.0029183170088160626,8035,0.007154440927671313,,,False
perp_taker_imbalance_change_15m=Q1,direction_1h_atr,perp_taker_imbalance_change_15m,1,16775,-0.017833229910344896,8040,-0.03002041750435571,8735,-0.0053489958357551895,16611,0.008691558872280928,7676,0.01880568464963435,8935,0.004850726203745964,,,False
perp_taker_imbalance_change_15m=Q1,up_first_1atr_1h,perp_taker_imbalance_change_15m,1,16403,0.0031728373349701466,7867,0.0020175059109058813,8536,0.004177010148317006,16239,0.003982710899945452,7494,0.0025845338001317386,8745,0.005178309487285593,1,0.0031728373349701466,True
perp_taker_imbalance_change_15m=Q2,direction_1h_atr,perp_taker_imbalance_change_15m,2,16095,0.024158883279112933,8107,0.022689955269264026,7988,0.024925760004551996,16065,-0.01869405278864974,8276,-0.0203183291405679,7789,-0.01929536126656258,,,False
perp_taker_imbalance_change_15m=Q2,up_first_1atr_1h,perp_taker_imbalance_change_15m,2,15733,0.0007575784252575879,7931,0.00694056023782369,7802,-0.005489785211150289,15692,-0.006166275695376755,8080,-0.0066181749014830316,7612,-0.00568537149309295,,,False
perp_taker_imbalance_change_15m=Q3,direction_1h_atr,perp_taker_imbalance_change_15m,3,15815,0.005772177651353544,8091,0.028005289997130797,7724,-0.01892861158152429,15866,-0.021530774843129784,8516,-0.04964023008340459,7350,0.005320681376909341,,,False
perp_taker_imbalance_change_15m=Q3,up_first_1atr_1h,perp_taker_imbalance_change_15m,3,15437,-0.0013978146167765715,7887,0.005442633647481376,7550,-0.008476589409768087,15505,0.0001763906083975253,8325,-0.0011597709529800881,7180,0.0017286661574720252,,,False
perp_taker_imbalance_change_15m=Q4,direction_1h_atr,perp_taker_imbalance_change_15m,4,15942,0.0008693539996556809,8048,-0.016680997386805563,7894,0.017940978771342785,15708,0.013439722629934375,8150,0.021083051460621963,7558,0.002313156066209996,1,0.0008693539996556809,False
perp_taker_imbalance_change_15m=Q4,up_first_1atr_1h,perp_taker_imbalance_change_15m,4,15580,-0.0030704709549361775,7860,-0.011023829185840883,7720,0.005066628515634275,15321,-1.6501809878444185e-05,7920,0.001977684684475567,7401,-0.002149150549522749,-1,1.6501809878444185e-05,False
perp_taker_imbalance_change_15m=Q5,direction_1h_atr,perp_taker_imbalance_change_15m,5,16405,-0.011876319759216929,7832,-0.004459326485020121,8573,-0.017240753861696732,16097,0.01779465640878969,7486,0.03669668535705997,8611,0.005848390268968412,,,False
perp_taker_imbalance_change_15m=Q5,up_first_1atr_1h,perp_taker_imbalance_change_15m,5,16051,0.000339727714596727,7658,-0.00355132625022897,8393,0.0038198765035640236,15760,0.001878416481826295,7351,0.0038223625885331347,8409,0.00017680717629686704,1,0.000339727714596727,False
perp_taker_imbalance_change_1h=Q1,direction_1h_atr,perp_taker_imbalance_change_1h,1,17067,-0.004794162630515061,8143,-0.010187692907202575,8924,0.0015616360800836254,17094,-0.014235034697679578,7922,-0.04124097856593613,9172,0.013775536695454877,-1,0.004794162630515061,False
perp_taker_imbalance_change_1h=Q1,up_first_1atr_1h,perp_taker_imbalance_change_1h,1,16682,0.0042568367025068166,7950,0.0023392703388602776,8732,0.0059304632821650105,16713,-0.0038162029836738554,7742,-0.0033964845459323323,8971,-0.004180873991860956,,,False
perp_taker_imbalance_change_1h=Q2,direction_1h_atr,perp_taker_imbalance_change_1h,2,16024,0.006130000286489398,8105,0.001026799115539101,7919,0.010448098627349314,16074,-0.021650262531784044,8422,-0.02152699241801237,7652,-0.025457032845516377,,,False
perp_taker_imbalance_change_1h=Q2,up_first_1atr_1h,perp_taker_imbalance_change_1h,2,15665,0.0010727606263876699,7932,0.00296877204677376,7733,-0.0008246496281664184,15712,-0.003733059631358282,8234,-0.005543513451854942,7478,-0.001737620465275036,,,False
perp_taker_imbalance_change_1h=Q3,direction_1h_atr,perp_taker_imbalance_change_1h,3,15749,-0.020210877415550138,8022,-0.053266792037969274,7727,0.012892503842563088,15736,0.024679341866208876,8276,0.030202402396160247,7460,0.014572214650813249,,,False
perp_taker_imbalance_change_1h=Q3,up_first_1atr_1h,perp_taker_imbalance_change_1h,3,15365,-0.0016074824096243279,7824,-0.003673964217608461,7541,0.0005961792342275007,15371,0.0007166475167998398,8072,0.0017941095876199964,7299,-0.00047287936656476015,,,False
