candidate_id,lookback_bars,buffer_atr,horizon_bars,session,direction,discovery_pass,confirmation_pass,y2024_e1_net,y2024_stress_net,y2025_e1_net,y2025_stress_net,bh_q
R6B-190,24,0.2,96,UTC08_16,SHORT,False,False,-388.9157739111156,-666.8181604000076,,,
R6B-191,24,0.2,96,UTC16_24,LONG,False,False,111.74825102241279,-150.7167213241522,,,
R6B-192,24,0.2,96,UTC16_24,SHORT,False,False,-540.9270781838803,-801.1390555274463,,,
R6B-193,48,0.0,12,ALL,LONG,False,False,-1151.0292054506626,-2419.863291853008,,,
R6B-194,48,0.0,12,ALL,SHORT,False,False,-815.782916333206,-1799.1653777494341,,,
R6B-195,48,0.0,12,UTC00_08,LONG,False,False,-257.0002307486001,-586.1839954687141,,,
R6B-196,48,0.0,12,UTC00_08,SHORT,False,False,-180.3183939077452,-406.19084430985623,,,
R6B-197,48,0.0,12,UTC08_16,LONG,False,False,-591.0300502493278,-1183.5206443969969,,,
R6B-198,48,0.0,12,UTC08_16,SHORT,False,False,-341.2154543346927,-805.0265255561287,,,
R6B-199,48,0.0,12,UTC16_24,LONG,False,False,-423.7689376121539,-814.9663146046859,,,
R6B-200,48,0.0,12,UTC16_24,SHORT,False,False,-306.89198870909723,-635.5068250659263,,,
R6B-201,48,0.0,24,ALL,LONG,False,False,-806.2562345670186,-1809.9048446265815,,,
R6B-202,48,0.0,24,ALL,SHORT,False,False,-746.5514107218273,-1538.7835973232322,,,
R6B-203,48,0.0,24,UTC00_08,LONG,False,False,-214.56165545368444,-522.0201357915925,,,
R6B-204,48,0.0,24,UTC00_08,SHORT,False,False,-180.6415941345594,-392.0043463055194,,,
R6B-205,48,0.0,24,UTC08_16,LONG,False,False,-482.84553524036585,-957.8430358316398,,,
R6B-206,48,0.0,24,UTC08_16,SHORT,False,False,-283.9043808294039,-654.6478391073249,,,
R6B-207,48,0.0,24,UTC16_24,LONG,False,False,-300.55342149121424,-628.2885391104562,,,
R6B-208,48,0.0,24,UTC16_24,SHORT,False,False,-236.67431192175826,-511.2227088979043,,,
R6B-209,48,0.0,48,ALL,LONG,False,False,-208.16008684414194,-986.1500967236391,,,
R6B-210,48,0.0,48,ALL,SHORT,False,False,-393.8139866874544,-1044.6372934185433,,,
R6B-211,48,0.0,48,UTC00_08,LONG,False,False,117.94687123392154,-173.63406529735846,,,
R6B-212,48,0.0,48,UTC00_08,SHORT,False,False,54.05225545879997,-152.687165810407,,,
R6B-213,48,0.0,48,UTC08_16,LONG,False,False,-301.09279024006975,-683.7158679553288,,,
R6B-214,48,0.0,48,UTC08_16,SHORT,False,False,-170.2756635666842,-482.1714388500782,,,
R6B-215,48,0.0,48,UTC16_24,LONG,False,False,-186.50883455495523,-458.0210589972732,,,
R6B-216,48,0.0,48,UTC16_24,SHORT,False,False,-283.53798646127086,-528.0207042257089,,,
R6B-217,48,0.0,96,ALL,LONG,False,False,150.8749872572011,-377.6449059676059,,,
R6B-218,48,0.0,96,ALL,SHORT,False,False,-293.6839927187849,-765.799191134543,,,
R6B-219,48,0.0,96,UTC00_08,LONG,True,True,245.83696052169148,44.069564972606486,873.5757229817275,573.1908028677756,0.004997501249375312
R6B-220,48,0.0,96,UTC00_08,SHORT,False,False,75.56065929096854,-79.79315921565048,,,
R6B-221,48,0.0,96,UTC08_16,LONG,False,False,-128.23063417822732,-395.4245130520253,,,
R6B-222,48,0.0,96,UTC08_16,SHORT,False,False,-187.30580385268303,-435.21247816207006,,,
R6B-223,48,0.0,96,UTC16_24,LONG,False,False,-6.067604006942689,-229.14559490625368,,,
R6B-224,48,0.0,96,UTC16_24,SHORT,False,False,-277.59260481202364,-478.55245752910065,,,
R6B-225,48,0.1,12,ALL,LONG,False,False,-1005.3803577220407,-2171.974570174216,,,
R6B-226,48,0.1,12,ALL,SHORT,False,False,-779.3647994919294,-1709.7976665886845,,,
R6B-227,48,0.1,12,UTC00_08,LONG,False,False,-245.8836452415255,-558.6708279618805,,,
R6B-228,48,0.1,12,UTC00_08,SHORT,False,False,-190.45702197025759,-408.9529864911606,,,
R6B-229,48,0.1,12,UTC08_16,LONG,False,False,-512.8946797598524,-1052.2528572943554,,,
R6B-230,48,0.1,12,UTC08_16,SHORT,False,False,-312.7013457798631,-745.3941759343942,,,
R6B-231,48,0.1,12,UTC16_24,LONG,False,False,-350.4631092417413,-704.2206412128382,,,
R6B-232,48,0.1,12,UTC16_24,SHORT,False,False,-288.7991566040848,-599.3956458433719,,,
R6B-233,48,0.1,24,ALL,LONG,False,False,-723.0098563319505,-1663.2696295437825,,,
R6B-234,48,0.1,24,ALL,SHORT,False,False,-685.4372080471725,-1450.2632588372815,,,
R6B-235,48,0.1,24,UTC00_08,LONG,False,False,-207.05473308411817,-504.80814555354516,,,
R6B-236,48,0.1,24,UTC00_08,SHORT,False,False,-185.8124924974257,-392.1853455634167,,,
R6B-237,48,0.1,24,UTC08_16,LONG,False,False,-437.19119330268603,-880.052095387087,,,
R6B-238,48,0.1,24,UTC08_16,SHORT,False,False,-217.45830462673052,-570.1545570202925,,,
R6B-239,48,0.1,24,UTC16_24,LONG,False,False,-273.0736057749569,-572.2409811622958,,,
R6B-240,48,0.1,24,UTC16_24,SHORT,False,False,-242.77566503092385,-507.90240866415087,,,
R6B-241,48,0.1,48,ALL,LONG,False,False,-253.53138963033282,-1002.5453360365088,,,
R6B-242,48,0.1,48,ALL,SHORT,False,False,-371.2486940266957,-994.7265890951387,,,
R6B-243,48,0.1,48,UTC00_08,LONG,False,False,104.07100732628622,-180.2293351817198,,,
R6B-244,48,0.1,48,UTC00_08,SHORT,False,False,71.6946960378681,-130.0506806046009,,,
R6B-245,48,0.1,48,UTC08_16,LONG,False,False,-363.27775468719886,-728.1032281174059,,,
R6B-246,48,0.1,48,UTC08_16,SHORT,False,False,-94.27109845062503,-388.12154390281603,,,
R6B-247,48,0.1,48,UTC16_24,LONG,False,False,-168.51507392222405,-420.10823322498703,,,
R6B-248,48,0.1,48,UTC16_24,SHORT,False,False,-287.97564132514333,-525.6641914881403,,,
R6B-249,48,0.1,96,ALL,LONG,False,False,103.09149719178323,-417.8717147869868,,,
R6B-250,48,0.1,96,ALL,SHORT,False,False,-286.5430718749617,-744.3172719623287,,,
R6B-251,48,0.1,96,UTC00_08,LONG,True,True,253.12305717792177,54.87680580064176,986.8718196407559,694.986643058409,0.002811094452773613
R6B-252,48,0.1,96,UTC00_08,SHORT,False,False,77.71505909116397,-75.13778961476906,,,
R6B-253,48,0.1,96,UTC08_16,LONG,False,False,-146.1312340704812,-406.9443119171752,,,
R6B-254,48,0.1,96,UTC08_16,SHORT,False,False,-89.54169821832316,-326.3562700824432,,,
R6B-255,48,0.1,96,UTC16_24,LONG,False,False,14.445704909241252,-197.51634203342573,,,
R6B-256,48,0.1,96,UTC16_24,SHORT,False,False,-262.31785799578324,-458.71534385602024,,,
R6B-257,48,0.2,12,ALL,LONG,False,False,-963.4946872945638,-2040.380168925552,,,
R6B-258,48,0.2,12,ALL,SHORT,False,False,-655.6229165340936,-1501.4545084784086,,,
R6B-259,48,0.2,12,UTC00_08,LONG,False,False,-237.39088380959063,-532.4826091181696,,,
R6B-260,48,0.2,12,UTC00_08,SHORT,False,False,-162.39273845233808,-361.9373944105211,,,
R6B-261,48,0.2,12,UTC08_16,LONG,False,False,-477.5065712574608,-966.1871938085708,,,
R6B-262,48,0.2,12,UTC08_16,SHORT,False,False,-295.01225481632895,-691.1426870484839,,,
R6B-263,48,0.2,12,UTC16_24,LONG,False,False,-334.313573529142,-652.588300331146,,,
R6B-264,48,0.2,12,UTC16_24,SHORT,False,False,-212.7532845318463,-492.99910151829334,,,
R6B-265,48,0.2,24,ALL,LONG,False,False,-734.8170028638648,-1617.0930403123957,,,
R6B-266,48,0.2,24,ALL,SHORT,False,False,-677.5548174222145,-1392.6539871999564,,,
R6B-267,48,0.2,24,UTC00_08,LONG,False,False,-201.07089521450578,-482.18282784029077,,,
R6B-268,48,0.2,24,UTC00_08,SHORT,False,False,-176.8563793919775,-368.0747828638935,,,
R6B-269,48,0.2,24,UTC08_16,LONG,False,False,-397.8888112804101,-802.842359811838,,,
R6B-270,48,0.2,24,UTC08_16,SHORT,False,False,-235.95537510193807,-571.5270725837211,,,
R6B-271,48,0.2,24,UTC16_24,LONG,False,False,-257.60216890872226,-534.2212869392422,,,
R6B-272,48,0.2,24,UTC16_24,SHORT,False,False,-230.9317312096463,-473.61885654340034,,,
