state,outcome,discovery_sign,discovery_worst_abs_effect,btc_2024_n,btc_2024_effect,eth_2024_n,eth_2024_effect,btcusdt_2025_n,btcusdt_2025_effect,ethusdt_2025_n,ethusdt_2025_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,phase_b_survivor,btcusdt_2025_n_recalc,btcusdt_2025_effect_recalc,btcusdt_block_p,ethusdt_2025_n_recalc,ethusdt_2025_effect_recalc,ethusdt_block_p,worst_symbol_p,quarter_eligible,quarter_match,quarter_match_rate,plateau_eligible,plateau_match,plateau_match_rate,worst_symbol_bh_q,dedup_cluster,cluster_representative,phase_c_screen_pass
price_change_1h_pct=Q5 & body_atr=Q1,up_first_1atr_1h,-1,0.02482966057061292,2360,-0.029165995839161407,2427,-0.02482966057061292,1834,0.03171176186038055,2580,0.009874461490477326,False,,False,False,1834,0.03171176186038055,0.9946684438520493,2580,0.009874461490477326,0.8200599800066645,0.9946684438520493,8,3,0.375,2,0,0.0,0.9950016661112961,,False,False
rsi14=Q3 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,1,0.022714167690350562,1990,0.022714167690350562,1918,0.02287875359003122,2225,0.0007907076165714066,1829,-0.010566877657869012,False,,False,False,2225,0.0007907076165714066,0.48683772075974674,1829,-0.010566877657869012,0.7867377540819727,0.7867377540819727,8,3,0.375,3,1,0.3333333333333333,0.9516988960669024,,False,False
price_change_15m_pct=Q5 & price_change_1h_pct=Q1,up_first_1atr_1h,1,0.020369035629344057,2281,0.020369035629344057,2333,0.02670516049070415,1578,0.016121164317558223,2854,0.007691478814184638,True,0.007691478814184638,True,True,1578,0.016121164317558223,0.13662112629123627,2854,0.007691478814184638,0.2822392535821393,0.2822392535821393,8,7,0.875,2,1,0.5,0.6025769188048428,C27,True,False
atr_slope_3bar_pct=Q4 & price_change_1h_pct=Q5,up_first_1atr_1h,-1,0.02010705277685837,4107,-0.02721345924393126,4002,-0.02010705277685837,3238,0.002813179526683751,4592,0.021551999777488118,False,,False,False,3238,0.002813179526683751,0.5934688437187604,4592,0.021551999777488118,0.9950016661112963,0.9950016661112963,8,1,0.125,3,1,0.3333333333333333,0.9950016661112961,,False,False
price_change_5m_pct=Q4 & price_change_1h_pct=Q5,up_first_1atr_1h,-1,0.019079456515333937,3780,-0.019079456515333937,3821,-0.020624590396428555,3382,-0.011675288835232278,4007,-0.010119328446899667,True,0.010119328446899667,True,True,3382,-0.011675288835232278,0.10896367877374209,4007,-0.010119328446899667,0.14395201599466845,0.14395201599466845,8,7,0.875,3,1,0.3333333333333333,0.3855857571285762,C28,True,False
rsi14=Q2 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,-1,0.018564972022948878,2715,-0.018564972022948878,2708,-0.02121875689525704,2912,-0.025002754539250327,2428,-0.012680229900657036,True,0.012680229900657036,True,True,2912,-0.025002754539250327,0.006997667444185272,2428,-0.012680229900657036,0.13795401532822393,0.13795401532822393,8,6,0.75,3,0,0.0,0.3832055981339554,C29,True,False
atr_slope_3bar_pct=Q5 & price_change_15m_pct=Q3,up_first_1atr_1h,-1,0.018119218139473536,2074,-0.018119218139473536,1955,-0.03603438322927921,2636,-0.00287726053401427,1461,-0.016403334857993723,True,0.00287726053401427,False,False,2636,-0.00287726053401427,0.38720426524491836,1461,-0.016403334857993723,0.08730423192269243,0.38720426524491836,8,5,0.625,3,0,0.0,0.6914361879373543,,False,False
price_change_1h_pct=Q5 & body_atr=Q4,up_first_1atr_1h,-1,0.017984723775031575,4345,-0.017984723775031575,4383,-0.01989600156050897,3488,-0.01782902230817862,5045,-0.003121366753005672,True,0.003121366753005672,False,False,3488,-0.01782902230817862,0.039320226591136286,5045,-0.003121366753005672,0.36487837387537486,0.36487837387537486,8,5,0.625,3,1,0.3333333333333333,0.6841469510163278,,False,False
oi_change_15m_pct=Q5 & oi_change_1h_pct=Q2,up_first_1atr_1h,-1,0.017805182989751478,1910,-0.017805182989751478,1704,-0.022951581216863692,1674,0.008189523612705252,2137,-0.015813037829368937,False,,False,False,1674,0.008189523612705252,0.7220926357880706,2137,-0.015813037829368937,0.10063312229256914,0.7220926357880706,8,4,0.5,3,0,0.0,0.9363258224270071,,False,False
oi_change_1h_pct=Q3 & oi_accel_5m_pctpt=Q5,up_first_1atr_1h,1,0.017583725058027244,2839,0.017583725058027244,2778,0.019749368904309672,2315,0.002165231362536879,2871,-0.009236860227099353,False,,False,False,2315,0.002165231362536879,0.4255248250583139,2871,-0.009236860227099353,0.8000666444518494,0.8000666444518494,8,4,0.5,3,0,0.0,0.9524602910141065,,False,False
