outcome,state,btcusdt_annual_n,btcusdt_annual_effect,btcusdt_h1_n,btcusdt_h1_effect,btcusdt_h2_n,btcusdt_h2_effect,ethusdt_annual_n,ethusdt_annual_effect,ethusdt_h1_n,ethusdt_h1_effect,ethusdt_h2_n,ethusdt_h2_effect,stable,sign
direction_1h_atr,funding_delta_settlement=Q2,50578,-0.009108037093522203,28881,-0.03430018654516336,21697,0.019611535371434362,48369,0.012764693134980357,27250,0.03044786656354869,21119,-0.018384418907121405,False,
direction_1h_atr,funding_delta_settlement=Q3,0,,0,,0,,0,,0,,0,,False,
direction_1h_atr,funding_delta_settlement=Q4,12672,-0.05940377305788603,4032,-0.22476470376666713,8640,0.025109769295139965,14880,0.045577882351237414,5472,0.08936554178866729,9408,0.03136623363525573,False,
direction_1h_atr,funding_delta_settlement=Q5,21024,-0.041462818249980105,9505,0.06887103627333545,11519,-0.1302030622079626,21024,-0.07605500830481705,9888,-0.06889153500384457,11136,-0.07962564413557148,False,
direction_1h_atr,spot_taker_imbalance=Q1,21079,0.0506932169999674,8972,0.06127267650225694,12107,0.04633880092059454,21079,0.015901696746183674,9635,0.05307934916499741,11444,-0.011337430954363447,False,
direction_1h_atr,spot_taker_imbalance=Q2,21079,0.006506763861029705,10648,0.009019858013677301,10431,0.003492170439650194,21079,-0.015912302621746997,10810,-0.029699582389565004,10269,-0.003162677518336132,False,
direction_1h_atr,spot_taker_imbalance=Q3,21078,-0.013604822955668151,11178,-0.03172145866995901,9900,0.004878146202796994,21078,0.009509872064338242,11053,-0.03336003474625755,10025,0.05363356333037625,False,
direction_1h_atr,spot_taker_imbalance=Q4,21079,0.005726320525001924,11420,0.0031202718184775574,9659,0.006086473788469451,21079,0.005836012545878164,10880,0.0032832140797101478,10199,0.006405827164959316,True,1
direction_1h_atr,spot_taker_imbalance=Q5,21079,-0.04932212385103183,10184,-0.0320927868089255,10895,-0.06466577240313409,21079,-0.015334827580800228,10024,0.014229853480605188,11055,-0.03987213101446522,False,
direction_1h_atr,perp_taker_imbalance=Q1,21079,0.020918330355533837,9943,0.010448673804080946,11136,0.031616628070466994,21079,0.0032826623866595538,9537,-0.01784547452334203,11542,0.0252345584907223,False,
