interval_id,target_symbol,currency,research_profile,mask_start_server_epoch,mask_end_server_epoch,source_event_ids
73,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1774124700,1774125300,292616
74,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1774459500,1774460100,285472
75,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1774538700,1774539300,286184
76,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1774891500,1774892100,294586
77,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1774975200,1774975800,286110
78,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1774976100,1774976700,288747;279664
79,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775056200,1775056800,274872
80,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775057100,1775057700,293688;293690
81,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775061600,1775062200,291133
82,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775062500,1775063100,237131;237145
83,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775064300,1775064900,286538
84,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775143500,1775144100,291106
85,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775229900,1775230500,277606;277618;277642
86,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775234400,1775235000,291389
87,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775235300,1775235900,237158;237225
88,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775575500,1775576100,293694
89,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775669100,1775669700,288471
90,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775678100,1775678700,275131
91,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775748300,1775748900,284096;284098;287126;287197;291107
92,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775764500,1775765100,275134
93,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1775834700,1775835300,277486;277498;277510;277790;277802
94,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1776099300,1776099900,287281
95,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1776180300,1776180900,277438
96,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1776273900,1776274500,289511
97,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1776353100,1776353700,287210;291108
98,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1776785100,1776785700,293689;293691
99,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1776878700,1776879300,290377
100,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1776957900,1776958500,291109
101,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777395300,1777395900,279665
102,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777476300,1777476900,293695
103,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777483500,1777484100,291476
104,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777496100,1777496700,237382
105,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777497900,1777498500,237390
106,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777562700,1777563300,282555;282567;287127;287198;291110
107,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777567200,1777567800,290969
108,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1777653600,1777654200,295480
