n_state,n_comp,effect,state_mean,comp_mean,p,state,state_family,feature,quintile,hour_block,horizon_bars,outcome,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,confirmation_q,confirmation_quarters_same_sign,quarter_details
12448,56284,0.05489050069067658,0.6248393316195373,0.5699488309288607,2.968459795032922e-29,ret3_atr:Q2,feature_quintile,ret3_atr,2,,3,move_ge_1atr,4.434949892977473e-29,12516,55996,0.05498808514172504,3.131700360042284e-29,5.961358553379982e-29,4,"{'1': {'effect': 0.05661988248458116, 'n_state': 2954, 'same_sign': True}, '2': {'effect': 0.05048042354629112, 'n_state': 3108, 'same_sign': True}, '3': {'effect': 0.031648171615365706, 'n_state': 3222, 'same_sign': True}, '4': {'effect': 0.05049732454863132, 'n_state': 3232, 'same_sign': True}}"
1239,67493,0.06371209248770693,0.642453591606134,0.5787414991184271,6.7160859792908915e-06,ret3_atr:Q2:H0,feature_quintile_x_server_4h_block,ret3_atr,2,0.0,3,move_ge_1atr,7.015410145498842e-06,1195,67317,0.07053917072431237,1.0730369327557993e-06,1.2230664127155767e-06,4,"{'1': {'effect': 0.09921289469293415, 'n_state': 281, 'same_sign': True}, '2': {'effect': 0.1121152467559996, 'n_state': 286, 'same_sign': True}, '3': {'effect': 0.006082117114354357, 'n_state': 330, 'same_sign': True}, '4': {'effect': 0.07121921674446163, 'n_state': 298, 'same_sign': True}}"
2297,66435,0.15718725531605438,0.7318241184153244,0.57463686309927,6.715815100957833e-51,ret3_atr:Q2:H2,feature_quintile_x_server_4h_block,ret3_atr,2,2.0,3,move_ge_1atr,1.6247939760381854e-50,2346,66166,0.1361990183103754,4.1336437330438005e-39,9.810863290452059e-39,4,"{'1': {'effect': 0.1566136145036704, 'n_state': 554, 'same_sign': True}, '2': {'effect': 0.08582219591641116, 'n_state': 603, 'same_sign': True}, '3': {'effect': 0.15902089780504347, 'n_state': 566, 'same_sign': True}, '4': {'effect': 0.1327671902915265, 'n_state': 623, 'same_sign': True}}"
2203,66529,0.154991539599177,0.7299137539718565,0.5749222143726795,1.200396253324378e-47,ret3_atr:Q2:H3,feature_quintile_x_server_4h_block,ret3_atr,2,3.0,3,move_ge_1atr,2.6636011538262824e-47,2318,66194,0.12968922916280567,3.1322667098256903e-35,6.869005942600197e-35,4,"{'1': {'effect': 0.11176224718717742, 'n_state': 552, 'same_sign': True}, '2': {'effect': 0.13910548414617196, 'n_state': 589, 'same_sign': True}, '3': {'effect': 0.1491164383750032, 'n_state': 578, 'same_sign': True}, '4': {'effect': 0.10536528776493403, 'n_state': 599, 'same_sign': True}}"
2439,66293,-0.1047213234113244,0.4788847888478885,0.5836061122592129,7.768400404319301e-25,ret3_atr:Q2:H5,feature_quintile_x_server_4h_block,ret3_atr,2,5.0,3,move_ge_1atr,1.0554891853694702e-24,2387,66125,-0.06669396217539392,1.0464365645203433e-10,1.3347405159698258e-10,4,"{'1': {'effect': -0.0513684331670099, 'n_state': 541, 'same_sign': True}, '2': {'effect': -0.03315821181399947, 'n_state': 577, 'same_sign': True}, '3': {'effect': -0.09718010471732891, 'n_state': 642, 'same_sign': True}, '4': {'effect': -0.07292396525271011, 'n_state': 627, 'same_sign': True}}"
2144,66588,0.15921838142142064,0.7341417910447762,0.5749234096233555,6.2791952004207695e-49,ret3_atr:Q3:H2,feature_quintile_x_server_4h_block,ret3_atr,3,2.0,3,move_ge_1atr,1.4625454659365146e-48,2228,66284,0.13242554452864652,2.3863539218027786e-35,5.264016003976718e-35,4,"{'1': {'effect': 0.17093106617647058, 'n_state': 512, 'same_sign': True}, '2': {'effect': 0.10084000628042078, 'n_state': 576, 'same_sign': True}, '3': {'effect': 0.154678334933657, 'n_state': 568, 'same_sign': True}, '4': {'effect': 0.09495750055067098, 'n_state': 572, 'same_sign': True}}"
2171,66561,0.1270241222711097,0.7029018885306311,0.5758777662595214,3.890259488030424e-32,ret3_atr:Q3:H3,feature_quintile_x_server_4h_block,ret3_atr,3,3.0,3,move_ge_1atr,6.234390205176962e-32,2222,66290,0.09946780769493446,1.3118705619371396e-20,2.1296600031447072e-20,4,"{'1': {'effect': 0.12574045846863513, 'n_state': 609, 'same_sign': True}, '2': {'effect': 0.1297709996441565, 'n_state': 509, 'same_sign': True}, '3': {'effect': 0.06415707122537251, 'n_state': 514, 'same_sign': True}, '4': {'effect': 0.0678077894933321, 'n_state': 590, 'same_sign': True}}"
2428,66304,-0.13917207963877037,0.4456342668863262,0.5848063465250966,2.1261173994085554e-42,ret3_atr:Q3:H5,feature_quintile_x_server_4h_block,ret3_atr,3,5.0,3,move_ge_1atr,4.356797949607696e-42,2497,66015,-0.0793792966617124,3.920936465888378e-15,5.506933238607272e-15,4,"{'1': {'effect': -0.0708686268990284, 'n_state': 552, 'same_sign': True}, '2': {'effect': -0.08113936385741627, 'n_state': 619, 'same_sign': True}, '3': {'effect': -0.10209931282928414, 'n_state': 683, 'same_sign': True}, '4': {'effect': -0.052391663777673236, 'n_state': 643, 'same_sign': True}}"
1145,67587,0.060417796942036084,0.6393013100436681,0.578883513101632,4.001640414908694e-05,ret3_atr:Q4:H0,feature_quintile_x_server_4h_block,ret3_atr,4,0.0,3,move_ge_1atr,4.1000414087179246e-05,1152,67360,0.09287328450778576,2.8348449295425036e-10,3.603616435859115e-10,4,"{'1': {'effect': 0.14042009382873522, 'n_state': 259, 'same_sign': True}, '2': {'effect': 0.03676791983515948, 'n_state': 305, 'same_sign': True}, '3': {'effect': 0.17015191786533257, 'n_state': 288, 'same_sign': True}, '4': {'effect': 0.030124122832737132, 'n_state': 300, 'same_sign': True}}"
2255,66477,0.15467467250313838,0.729490022172949,0.5748153496698106,1.67838545887848e-48,ret3_atr:Q4:H2,feature_quintile_x_server_4h_block,ret3_atr,4,2.0,3,move_ge_1atr,3.885151525181667e-48,2370,66142,0.1263022518869069,3.438845952535056e-34,7.244759731464304e-34,4,"{'1': {'effect': 0.17262407102109179, 'n_state': 576, 'same_sign': True}, '2': {'effect': 0.09443280921882335, 'n_state': 577, 'same_sign': True}, '3': {'effect': 0.17520649654115972, 'n_state': 551, 'same_sign': True}, '4': {'effect': 0.061551514076349734, 'n_state': 666, 'same_sign': True}}"
