state,outcome,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_same_sign_both,discovery_half_stable,discovery_sign,discovery_worst_abs_effect,discovery_eligible,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_block_p,btcusdt_2025_q1_n,btcusdt_2025_q1_effect,btcusdt_2025_q2_n,btcusdt_2025_q2_effect,btcusdt_2025_q3_n,btcusdt_2025_q3_effect,btcusdt_2025_q4_n,btcusdt_2025_q4_effect,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_block_p,ethusdt_2025_q1_n,ethusdt_2025_q1_effect,ethusdt_2025_q2_n,ethusdt_2025_q2_effect,ethusdt_2025_q3_n,ethusdt_2025_q3_effect,ethusdt_2025_q4_n,ethusdt_2025_q4_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_eb_screen_pass
premium_index_close|15m|Q2->Q3,direction_1h_atr,4888,-0.0908760157772423,1801,-0.11815402948573467,3087,-0.06925866264228786,4897,-0.1071400253833801,1919,-0.08524739609731555,2978,-0.11172557064594263,True,True,-1,0.0908760157772423,True,7156,0.03945140734836973,,1885,0.12924975030054273,1428,-0.1745320513312837,2000,0.11205013133299487,1843,0.048124633304109335,8056,0.028778675872407008,,2007,0.05287621044311734,2189,0.002990615989510413,1963,-0.01291042369724578,1897,0.07422183651861752,False,,False,8,2,0.25,False,1.0,1.0,False
premium_index_close|15m|Q4->Q3,direction_1h_atr,1458,0.21942779764730305,833,0.16630443538837253,625,0.2853929422587366,1227,0.08956771889062687,853,0.03932349296858597,374,0.1684521690429845,True,True,1,0.08956771889062687,True,767,-0.2771906823721975,,247,-0.5007697927425032,11,1.1405293698968204,495,-0.2000831087977012,14,-0.6377767853305915,863,0.045897884511405015,0.40353215594801733,231,-0.0761747516495153,25,-0.5021220616698888,577,0.09125844113250156,30,-0.5559793069255914,False,,False,4,1,0.25,False,1.0,1.0,False
mark_index_bps|15m|Q1->Q1,direction_1h_atr,14514,0.12332657588031226,6162,0.2384350783212673,8352,0.0419325810938986,14762,0.08728290632953664,5657,0.09465122179237509,9105,0.09286493331145926,True,True,1,0.08728290632953664,True,23436,0.062399387760455546,0.07664111962679107,5680,0.05029190607863351,8253,0.09456255645853924,2859,-0.0028525589232508836,6644,0.06129916250819217,22473,-0.021121081609126548,,5284,-0.010895698305682808,6098,0.06476027156464742,3505,-0.18998515810603345,7586,0.013156112880936092,False,,False,8,5,0.625,False,1.0,1.0,False
mark_index_bps_change_1h|15m|Q5->Q5,direction_1h_atr,9016,-0.2129257794191261,5224,-0.20926307373490743,3792,-0.2234399974729419,9034,-0.0861733235605792,5874,-0.12600539600965638,3160,-0.036179292152572526,True,True,-1,0.0861733235605792,True,3903,-0.1779759899008576,0.032989003665444855,1453,-0.26829597447912795,976,-0.12139811323968724,840,-0.035274495632010155,634,-0.2166817341852966,5564,0.07782462813866274,,1472,0.05763328482933103,1314,0.10084951905729123,1465,0.08587211455487714,1313,0.07063733335332675,False,,False,8,4,0.5,False,1.0,1.0,False
mark_index_bps_change_15m|15m|Q5->Q5,direction_1h_atr,2422,-0.14512681426145635,1353,-0.1657751099081049,1069,-0.12288633495283685,2570,-0.08390005066156413,1734,-0.045955800426385036,836,-0.19260218362744452,True,True,-1,0.08390005066156413,True,827,-0.19141623109344735,0.03632122625791403,373,-0.21177218284521526,151,-0.17493373806520177,148,-0.05520118607027625,155,-0.19642433841832396,1590,-0.1547403139220038,0.02032655781406198,462,-0.1396403237559476,308,-0.02564649703240132,383,-0.1668592637199494,437,-0.2201764706515943,True,0.1547403139220038,True,8,8,1.0,True,0.03632122625791403,0.9108075086082418,False
mark_index_bps_change_15m|15m|Q1->Q2,direction_1h_atr,2872,0.15274861101622217,1501,0.15305924634571305,1371,0.15091818773202775,2919,0.08385889654249506,1646,0.08650610649202489,1273,0.07202897718200026,True,True,1,0.08385889654249506,True,2031,0.017425978519656903,0.39086971009663446,571,0.06731733630048589,488,0.010541136028737616,489,-0.022425650665594578,483,0.016511418284226562,2542,-0.017152016039651392,,612,0.02691426304255011,651,0.08051409676089022,633,-0.0024037584173342563,646,-0.1735252912704417,False,,False,8,5,0.625,False,1.0,1.0,False
premium_index_close|1h|Q1->Q1,direction_1h_atr,11437,0.09085257283530895,4413,0.185609780929413,7024,0.03639101570311671,11671,0.08012057768708031,3673,0.011975455928133469,7998,0.12605537706759082,True,True,1,0.08012057768708031,True,19846,0.047761083071120196,0.14895034988337222,4662,0.0009387715648161918,6810,0.09368713628537421,2402,-0.022531904596021973,5972,0.06412108826058448,20545,-0.041151983980209306,,4585,-0.014834030017541827,5583,0.004665424519562304,3470,-0.1926625975514501,6907,0.005530217822564576,False,,False,8,5,0.625,False,1.0,1.0,False
premium_index_change_1h|1h|Q3->Q5,direction_1h_atr,3409,-0.10955414963238612,1769,-0.05643479155260874,1640,-0.1681147910667639,3336,-0.07971235728514428,1776,-0.09324550552934324,1560,-0.06844047699444109,True,True,-1,0.07971235728514428,True,2794,-0.05102972390730464,0.24558480506497835,711,-0.05422779637584743,692,-0.1263820826347211,670,0.03996740373870068,721,-0.05449405033789608,3227,0.012288881142699326,,742,-0.01431154009623957,802,0.0513069992287598,841,-0.04697647418911416,842,0.049802515910882306,False,,False,8,5,0.625,False,1.0,1.0,False
mark_index_bps_change_15m|15m|Q5->Q4,direction_1h_atr,2779,-0.08390330608181219,1513,-0.1214566812456202,1266,-0.04192402863048046,2703,-0.07869390546620597,1554,-0.058198434647672395,1149,-0.11646459147501148,True,True,-1,0.07869390546620597,True,1738,0.09896578100090658,,530,-0.027242489685467663,367,-0.0905783682210646,442,0.26746050637370333,399,0.27607912046216376,2233,-0.05480841788858429,0.1546151282905698,571,-0.14644315311281647,536,-0.12563302414302185,554,0.017407271775425226,572,0.04017294856955318,False,,False,8,4,0.5,False,1.0,1.0,False
premium_index_change_1h|1h|Q4->Q4,direction_1h_atr,3828,-0.0770766200537634,1816,-0.03955574357989712,2012,-0.10972876720366043,3807,-0.09047733078247025,1602,-0.16532273465771535,2205,-0.028848415378163524,True,True,-1,0.0770766200537634,True,4740,-0.07839165160303747,0.06931022992335888,1053,-0.15861159520601542,1210,-0.06111566460593794,1286,-0.08326610726418117,1191,-0.030940436705409156,4216,-0.014440227222669213,0.3948683772075975,1010,-0.025743739894752038,1092,-0.01824148775232551,1102,-0.04466232491732268,1012,0.023594336555769684,True,0.014440227222669213,False,8,7,0.875,True,0.3948683772075975,1.0,False
