state,outcome,feature,q,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
taker_imbalance_diff=Q5,up_first_1atr_1h,taker_imbalance_diff,5,20580,0.0046544815043184085,8884,0.0024572106108129987,11696,0.006051293968311611,20533,0.002609441700784698,9377,0.003174903276329022,11156,0.0021048446427954226,1,0.002609441700784698,True
perp_spot_basis_bps=Q1,direction_1h_atr,perp_spot_basis_bps,1,21079,0.009995211922827596,5557,0.002242754994485799,15522,0.02164412295384114,21079,0.02049166646671594,6081,-0.0050576788212965615,14998,0.046977335694830764,1,0.009995211922827596,False
perp_spot_basis_bps=Q1,up_first_1atr_1h,perp_spot_basis_bps,1,20424,0.0061878915781011234,5357,-0.003378904796809079,15067,0.008834609658910919,20440,0.006881067644340044,5895,-6.721624184136132e-06,14545,0.009557464145258154,1,0.0061878915781011234,False
perp_spot_basis_bps=Q2,direction_1h_atr,perp_spot_basis_bps,2,21079,0.0005116978604683409,7343,-0.009574751555114981,13736,0.012293568090707682,21079,-0.013614299158824944,7679,0.01618555037864349,13400,-0.019197736110763433,,,False
perp_spot_basis_bps=Q2,up_first_1atr_1h,perp_spot_basis_bps,2,20509,-0.0008238500594251463,7163,0.0034589377438996594,13346,-0.0036608286943654034,20469,-0.0011098094961097815,7454,-0.008185263329680947,13015,0.0028603234343324013,-1,0.0008238500594251463,False
perp_spot_basis_bps=Q3,direction_1h_atr,perp_spot_basis_bps,3,21078,-0.020967604066766524,9011,0.02180243193533961,12067,-0.04950043958404782,21078,-0.05620127611707937,8283,0.028142943115672094,12795,-0.10136274262597317,-1,0.020967604066766524,False
perp_spot_basis_bps=Q3,up_first_1atr_1h,perp_spot_basis_bps,3,20563,-0.001884705682495269,8803,2.4326742462665862e-06,11760,-0.003582675898704979,20514,-0.008433670398144244,8077,-0.00872912976894602,12437,-0.008308801842193847,-1,0.001884705682495269,False
perp_spot_basis_bps=Q4,direction_1h_atr,perp_spot_basis_bps,4,21079,0.013647664362399253,14745,-0.00530248539746736,6334,0.038927319739031525,21079,0.0804239548410406,15613,0.054244274320456455,5466,0.10358155597788761,1,0.013647664362399253,False
perp_spot_basis_bps=Q4,up_first_1atr_1h,perp_spot_basis_bps,4,20474,0.0007088102398176699,14285,-0.0011272932429254312,6189,0.006524006134263294,20502,0.0016552589265231843,15165,0.0009703172082016209,5337,0.003967001125881997,1,0.0007088102398176699,False
perp_spot_basis_bps=Q5,direction_1h_atr,perp_spot_basis_bps,5,21079,-0.0031879647942409037,15746,-0.0038379369883676656,5333,-0.028889624329608826,21079,-0.03110271225302577,14746,-0.07958476530840208,6333,0.044756527721040766,-1,0.0031879647942409037,False
perp_spot_basis_bps=Q5,up_first_1atr_1h,perp_spot_basis_bps,5,20568,-0.004144405611788249,15338,0.0006132736393761884,5230,-0.015774082097895936,20546,0.001028904115716489,14363,0.008134992516563744,6183,-0.015215225940171662,,,False
log_quote_volume_ratio=Q1,direction_1h_atr,log_quote_volume_ratio,1,21079,0.016553772758402252,12981,0.03908207999863439,8098,-0.028196906527304496,21079,0.048726324511338986,13282,0.07026068717025868,7797,-0.007710055613004431,1,0.016553772758402252,False
log_quote_volume_ratio=Q1,up_first_1atr_1h,log_quote_volume_ratio,1,20592,-0.000591463027340422,12658,0.0006478966383888785,7934,-0.0018427046392155422,20566,0.00414433898325689,12950,0.009229428375324644,7616,-0.00436183982590066,,,False
log_quote_volume_ratio=Q2,direction_1h_atr,log_quote_volume_ratio,2,21079,0.03976875157262787,12468,-9.499026847581415e-05,8611,0.09103122627019897,21079,0.025561857729151403,12267,0.015282089679776609,8812,0.028726566687876307,1,0.025561857729151403,False
log_quote_volume_ratio=Q2,up_first_1atr_1h,log_quote_volume_ratio,2,20536,-0.0008436780243937791,12138,0.0007596753846293991,8398,-0.0026142520919352763,20518,0.0017550544773418109,11927,0.002689877769370075,8591,0.0005359994459971373,,,False
log_quote_volume_ratio=Q3,direction_1h_atr,log_quote_volume_ratio,3,21078,-0.006037169659873623,11331,-0.031251916601123766,9747,0.020832820214536606,21078,-0.02043185754119601,11246,-0.051283353991483,9832,0.01057348245463309,-1,0.006037169659873623,False
log_quote_volume_ratio=Q3,up_first_1atr_1h,log_quote_volume_ratio,3,20452,-0.00667637980558794,10986,-0.011848336303998896,9466,-0.0004672114581220632,20480,-0.0007893434674505762,10926,-0.006063567609598863,9554,0.005272774696064686,-1,0.0007893434674505762,False
