state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible,discovery_rank,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_2025_block_p,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_2025_block_p,worst_symbol_p,quarter_eligible,quarter_match,quarter_match_rate,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,worst_symbol_bh_q,phase_d_screen_pass
atr_slope_3bar_pct=Q1 & price_change_1h_pct=Q4 & oi_change_1h_pct=Q1,direction_1h_atr,729,-0.17180251661098572,383,-0.13348560633005324,346,-0.21587445902380248,593,-0.14174197132155195,296,-0.13712886921216835,297,-0.146555802917717,True,True,-1,0.13348560633005324,True,45,743,0.1378067619487517,1.0,806,-0.0742326126961262,0.19693435521492836,1.0,8,4,0.5,False,,False,1.0,False
atr_slope_1bar_pct=Q3 & price_change_5m_pct=Q4 & oi_accel_15m_pctpt=Q3,direction_1h_atr,1069,0.3294313889782886,515,0.3769071804643638,554,0.28612854714232644,1093,0.14299082521195666,572,0.1333387383419279,521,0.1505724625592006,True,True,1,0.1333387383419279,True,46,1305,0.013074289227934834,0.43552149283572145,751,0.03917572613867516,0.3388870376541153,0.43552149283572145,8,5,0.625,True,0.013074289227934834,False,1.0,False
price_change_5m_pct=Q4 & oi_accel_15m_pctpt=Q3 & range_atr=Q3,direction_1h_atr,1069,0.3294313889782886,515,0.3769071804643638,554,0.28612854714232644,1093,0.14299082521195666,572,0.1333387383419279,521,0.1505724625592006,True,True,1,0.1333387383419279,True,47,1305,0.013074289227934834,0.4351882705764745,751,0.03917572613867516,0.3275574808397201,0.4351882705764745,8,5,0.625,True,0.013074289227934834,False,1.0,False
atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q1 & price_change_5m_pct=Q4,direction_1h_atr,643,0.2625255368282418,325,0.19404836708567405,318,0.3320441607695028,651,0.16113893178317967,361,0.17958319791158753,290,0.13110187855285582,True,True,1,0.13110187855285582,True,48,722,0.05988440497825942,0.25524825058313894,536,0.025385865509353577,0.3962012662445851,0.3962012662445851,8,5,0.625,True,0.025385865509353577,False,1.0,False
atr_slope_3bar_pct=Q1 & price_change_5m_pct=Q4 & range_atr=Q3,direction_1h_atr,643,0.2625255368282418,325,0.19404836708567405,318,0.3320441607695028,651,0.16113893178317967,361,0.17958319791158753,290,0.13110187855285582,True,True,1,0.13110187855285582,True,49,722,0.05988440497825942,0.24825058313895368,536,0.025385865509353577,0.40719760079973344,0.40719760079973344,8,5,0.625,True,0.025385865509353577,False,1.0,False
atr_slope_3bar_pct=Q4 & price_change_5m_pct=Q5 & price_change_15m_pct=Q3,direction_1h_atr,545,-0.18838612683499945,267,-0.17719409322233148,278,-0.1987371094567267,626,-0.13292880870686286,302,-0.13408751178735384,324,-0.13028112061650923,True,True,-1,0.13028112061650923,True,50,582,0.04047432484836593,1.0,649,-0.027911045119102206,0.3865378207264245,1.0,8,3,0.375,False,,False,1.0,False
rsi14=Q2 & atr_slope_3bar_pct=Q5 & oi_change_1h_pct=Q4,up_first_1atr_1h,512,-0.06573100419978545,243,-0.04348748043989131,269,-0.08592626389152291,501,-0.058228898801530315,246,-0.043922879514559865,255,-0.07203515915363173,True,True,-1,0.04348748043989131,True,1,531,-1.167923037836971e-05,0.5011662779073642,392,0.004285947014919689,1.0,1.0,8,4,0.5,False,,False,1.0,False
price_change_5m_pct=Q3 & price_change_15m_pct=Q3 & oi_accel_5m_pctpt=Q1,up_first_1atr_1h,571,-0.04378143655530209,285,-0.04002202668203991,286,-0.047516718047032835,665,-0.050241865349637094,375,-0.05780905837634848,290,-0.04039215712523414,True,True,-1,0.04002202668203991,True,2,728,0.002813179526683751,1.0,709,-0.014485101601988237,0.24391869376874376,1.0,8,4,0.5,False,,False,1.0,False
rsi14=Q5 & price_change_5m_pct=Q4 & oi_accel_15m_pctpt=Q5,up_first_1atr_1h,1004,-0.04119633039500459,473,-0.039502758108915736,531,-0.04282178962329086,956,-0.06439230420829001,508,-0.07388254918999682,448,-0.05360028520405191,True,True,-1,0.039502758108915736,True,3,1063,0.0070464815022247,1.0,1240,-0.001490879844856463,0.4561812729090303,1.0,8,4,0.5,False,,False,1.0,False
rsi14=Q2 & price_change_1h_pct=Q3 & body_atr=Q5,up_first_1atr_1h,598,-0.03917764926667511,340,-0.037338848147468184,258,-0.04120132801071258,567,-0.03503718698706404,297,-0.03386293043022054,270,-0.036305311659078354,True,True,-1,0.03386293043022054,True,4,841,0.027188922689585004,1.0,475,0.01120861081728275,1.0,1.0,8,3,0.375,False,,False,1.0,False
price_change_5m_pct=Q2 & price_change_1h_pct=Q4 & oi_accel_5m_pctpt=Q5,up_first_1atr_1h,759,0.034907685688225054,368,0.03372892678859318,391,0.035961185123964956,724,0.061275186949619365,361,0.05333406258394696,363,0.06917372109268172,True,True,1,0.03372892678859318,True,5,706,-0.015600418207027289,1.0,804,0.022879205213721665,0.0943018993668777,1.0,8,4,0.5,False,,False,1.0,False
price_change_5m_pct=Q5 & oi_change_5m_pct=Q2 & oi_accel_15m_pctpt=Q5,up_first_1atr_1h,581,0.03619119351966377,301,0.035399084234787104,280,0.03714861661830182,563,0.03395263511110619,265,0.033159495082770996,298,0.034636771363541596,True,True,1,0.033159495082770996,True,6,498,-0.03734746304359737,1.0,700,0.03887778374961359,0.008330556481172943,1.0,8,5,0.625,False,,False,1.0,False
rsi14=Q3 & oi_accel_15m_pctpt=Q2 & body_atr=Q5,up_first_1atr_1h,788,0.043237507856052126,425,0.05207291655841417,363,0.03311477167536603,761,0.0473523172158436,374,0.050312153744863586,387,0.044487108668225694,True,True,1,0.03311477167536603,True,7,782,-0.018925950908098843,1.0,669,0.033872445291360354,0.021992669110296566,1.0,8,4,0.5,False,,False,1.0,False
rsi14=Q1 & atr_slope_1bar_pct=Q3 & oi_accel_15m_pctpt=Q4,up_first_1atr_1h,617,0.03909514551658405,301,0.04536586164342493,316,0.033079900524269235,584,0.05601521570917428,271,0.05836314334566878,313,0.05395619585482536,True,True,1,0.033079900524269235,True,8,851,0.011626340513757827,0.25191602799066976,646,-0.010648974322036098,1.0,1.0,8,4,0.5,False,,False,1.0,False
rsi14=Q1 & oi_accel_15m_pctpt=Q4 & range_atr=Q3,up_first_1atr_1h,617,0.03909514551658405,301,0.04536586164342493,316,0.033079900524269235,584,0.05601521570917428,271,0.05836314334566878,313,0.05395619585482536,True,True,1,0.033079900524269235,True,9,851,0.011626340513757827,0.23592135954681773,646,-0.010648974322036098,1.0,1.0,8,4,0.5,False,,False,1.0,False
