state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q4,up_first_1atr_1h,1014,0.012490303739070618,428,0.02720210842207549,586,0.0014343309040161234,976,0.01694043466268874,475,0.05643655565873923,501,-0.020514670718736805,True,False,0,0.0014343309040161234,False
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q5,direction_1h_atr,759,-0.06537742643737145,389,-0.039795342642479775,370,-0.09315077234826116,816,0.09885269856190895,422,0.2604496594921407,394,-0.07650212852690454,True,False,0,0.039795342642479775,False
rsi14=Q1 & atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,738,-0.021761873102224494,375,-0.010829044225899531,363,-0.03300093080397287,794,0.0046453526954756685,410,0.012174681461049885,384,-0.00337707091833761,True,False,0,0.00337707091833761,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q1,direction_1h_atr,104,-0.2700552394845415,54,-0.4026555645331469,50,-0.12812647478914782,87,0.05039503655240345,51,-0.28687056798797406,36,0.516360694838334,False,False,0,0.05039503655240345,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q1,up_first_1atr_1h,102,-0.046391237042922695,54,-0.033199414596269905,48,-0.06106566909598388,84,0.04035963840976137,49,0.137510669514808,35,-0.09556457091833759,False,False,0,0.033199414596269905,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q2,direction_1h_atr,502,0.016687398046504688,238,0.17341379180136968,264,-0.12337890144517563,494,0.15373893857534576,245,-0.066657851198969,249,0.3707299469106727,False,False,0,0.016687398046504688,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,491,-0.0024632788942864914,233,-0.019767527773825122,258,0.01306223788076033,483,0.0015397626333638614,237,0.0027479036489679864,246,0.0003703884312558636,False,False,0,0.0003703884312558636,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q3,direction_1h_atr,1037,0.04692776339098447,496,0.013550780832121995,541,0.07853862309359066,936,0.03622067846829081,436,0.14589048437162774,500,-0.056182415588906076,True,False,0,0.013550780832121995,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q3,up_first_1atr_1h,1017,0.022785696267274502,486,0.020298527790561405,531,0.024974820546200704,922,0.007899148790920407,430,-0.002119135895728319,492,0.016630551032881913,True,False,0,0.002119135895728319,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q4,direction_1h_atr,1559,0.11039307927456235,732,0.03749024313856919,827,0.17637622407203812,1523,-0.09888636811572875,685,-0.1372954115558702,838,-0.06275228622988763,True,False,0,0.03749024313856919,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q4,up_first_1atr_1h,1530,0.034000919819822395,715,0.025515944119088863,815,0.04131163151751305,1492,-0.006748749181199942,674,-0.011462866487129908,818,-0.0028995342435209626,True,False,0,0.0028995342435209626,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q5,direction_1h_atr,1606,-0.07159901446444014,773,-0.011598465632031388,833,-0.12642410796537046,1671,-0.16617851955402518,792,-0.3568352126066497,879,0.008034383103529283,True,False,0,0.008034383103529283,False
rsi14=Q1 & atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,1571,0.006129325606070657,759,0.020306660648935826,812,-0.007186358751156308,1631,0.004338792303078376,769,-0.006195707704480247,862,0.013716171541059197,True,False,0,0.004338792303078376,False
